model_metrics_ID,meta_data_ID,model_ID,model_ID_name,auc,logloss,mean_per_class_error,rmse,mse
54,3,11,StackedEnsemble_BestOfFamily_AutoML_20190422_173752,0.816479777,0.06747543,0.377817863,0.118929941,0.014144331
55,3,12,GBM_grid_1_AutoML_20190422_173752_model_16,0.814570274,0.070408108,0.374035215,0.119045032,0.01417172
56,3,13,StackedEnsemble_AllModels_AutoML_20190422_173752,0.814225251,0.067193528,0.362700342,0.118717,0.014093726
57,3,14,GBM_5_AutoML_20190422_173752,0.813500049,0.066136789,0.3676198,0.118442259,0.014028569
58,3,15,GBM_4_AutoML_20190422_173752,0.809076581,0.068301225,0.365177821,0.120235551,0.014456588
59,3,16,GBM_grid_1_AutoML_20190422_173752_model_7,0.805359446,0.073541145,0.331689028,0.119686817,0.014324934
60,3,17,GBM_grid_1_AutoML_20190422_173752_model_15,0.803188187,0.074133204,0.408835669,0.119787437,0.01434903
61,3,18,GBM_grid_1_AutoML_20190422_173752_model_14,0.800978576,0.074932772,0.374737356,0.119907029,0.014377696
62,3,19,GBM_grid_1_AutoML_20190422_173752_model_11,0.796258568,0.079723306,0.387564652,0.121978481,0.01487875
63,3,20,GBM_grid_1_AutoML_20190422_173752_model_4,0.795557535,0.069423386,0.380272825,0.119861976,0.014366893
64,3,21,GBM_grid_1_AutoML_20190422_173752_model_8,0.793981931,0.068550803,0.406983649,0.119364669,0.014247924
65,3,22,GBM_grid_1_AutoML_20190422_173752_model_17,0.781834595,0.071126254,0.378054224,0.11916799,0.01420101
66,3,23,DeepLearning_grid_1_AutoML_20190422_173752_model_6,0.769561938,0.072907508,0.396907794,0.11876494,0.014105111
67,3,24,GLM_grid_1_AutoML_20190422_173752_model_1,0.768481659,0.067156413,0.40780549,0.118464278,0.014033785
68,3,25,DRF_1_AutoML_20190422_173752,0.767032145,0.107852576,0.443437276,0.121809858,0.014837641
69,3,26,XRT_1_AutoML_20190422_173752,0.761522893,0.097525581,0.426704631,0.121262806,0.014704668
70,3,27,DeepLearning_1_AutoML_20190422_173752,0.756580537,0.070035212,0.355234694,0.118963653,0.014152351
71,3,28,DeepLearning_grid_1_AutoML_20190422_173752_model_2,0.745407971,0.093293789,0.393627991,0.1221455,0.014919523
72,3,29,DeepLearning_grid_1_AutoML_20190422_173752_model_3,0.731709718,0.081378937,0.406768777,0.119758703,0.014342147
73,3,30,DeepLearning_grid_1_AutoML_20190422_173752_model_4,0.684402348,0.212976659,0.41897357,0.120871592,0.014609942
74,3,31,DeepLearning_grid_1_AutoML_20190422_173752_model_1,0.681639039,0.147359529,0.437461051,0.120930936,0.014624291
75,3,32,DeepLearning_grid_1_AutoML_20190422_173752_model_5,0.607062299,0.152667328,0.450328369,0.120798275,0.014592223
76,3,33,GBM_grid_1_AutoML_20190422_173752_model_5,0.536751498,0.954698975,0.454819156,0.198976653,0.039591709
77,3,34,GBM_grid_1_AutoML_20190422_173752_model_6,0.53509363,1.145927302,0.465654763,0.184268411,0.033954847
78,4,1,GBM_grid_1_AutoML_20190422_184447_model_22,0.833037053,0.065540038,0.381158278,0.117821686,0.01388195
79,4,2,GBM_grid_1_AutoML_20190422_184447_model_26,0.832753142,0.064389221,0.392100024,0.117696784,0.013852533
80,4,3,GBM_grid_1_AutoML_20190422_184447_model_17,0.831800301,0.065126455,0.391809051,0.117769484,0.013869651
81,4,4,GBM_grid_1_AutoML_20190422_184447_model_13,0.830757901,0.065324273,0.39015637,0.117812939,0.013879889
